name,price,code,actual_category
Transponder AIS Maré Magnum,R$ 33122.52,1,ELETRONICOS
Transponder Furuno Marlin,R$ 13998.15,2,ELETRONICOS
Radar Furuno Pulse Leviathan,R$ 9024.19,3,E L E T R Ô N I C O S
Rádio AIS Hydro Tidal Zen,R$ 3381.88,4,Eletrunicos
Piloto Automático Furuno Storm,R$ 23669.01,5,Eletronicoz
Transponder AIS Vector,R$ 11820.21,6,Eletrunicos
Radar AIS Zen,R$ 19518.77,7,eLeTrÔnIcOs
GPS AIS Zen,R$ 4984.15,8,E L E T R Ô N I C O S
Transponder AIS Titan Pulse,R$ 39705.5,9,Eletronicoz
Piloto Automático Simrad Titan Flux Magnum,R$ 32033.04,10,eletrônicos
GPS Furuno Swift Leviathan Poseidon,R$ 36231.91,11,Eletrônicos
GPS AIS Drift Flux Vox,R$ 2726.18,12,Eletrunicos
Radar Simrad Boost,R$ 7747.1,13,E L E T R Ô N I C O S
Rádio Furuno Zen Swift,R$ 35811.08,14,Eletroniscos
Radar Garmin Tidal Thrust,R$ 27899.76,15,Eletronicos
Sonda Garmin Axis,R$ 30005.99,16,eletrônicos
Rádio AIS Oceanic Pulse,R$ 14038.78,17,ELETRONICOS
Rádio Simrad Axis,R$ 26572.45,18,Eletronicoz
Sonda Lowrance Tidal Storm Vox,R$ 16432.35,19,eletronicos
Radar AIS Marlin,R$ 30833.44,20,eletrônicos
GPS AIS Nautic Thrust,R$ 8734.56,21,Eletronicoz
Transponder Furuno Force Ion,R$ 39452.86,22,Eletronicoz
Piloto Automático Furuno Torque Peak,R$ 11178.63,23,Eletroniscos
GPS AIS Orca Marlin Velocity,R$ 23232.18,24,eletronicos
Rádio Lowrance Nitro Thrust Barracuda,R$ 12126.46,25,Eletrunicos
Piloto Automático Furuno Core Boost Flux,R$ 17283.18,26,EletrônicoS
GPS Garmin Vortex Maré Drift,R$ 16511.45,27,ELETRONICOS
Piloto Automático AIS Core,R$ 14258.56,28,eletronicos
Rádio Simrad Orca,R$ 36510.34,29,Eletrunicos
Transponder AIS Boost,R$ 32247.87,30,Eletrônicos
Transponder Furuno Pulse Axis,R$ 8283.11,31,EletrônicoS
Sonda AIS Impulse Oceanic Zenith,R$ 12502.46,32,ELETRONICOS
Transponder Garmin Drift Vortex Marlin,R$ 6715.77,33,ELETRONICOS
Transponder AIS Helix Torque,R$ 4917.53,34,E L E T R Ô N I C O S
Radar Furuno Swift,R$ 11005.53,35,Eletrônicos
Radar Lowrance Aqua Pulse,R$ 22601.39,36,eletrônicos
GPS Lowrance Evo Storm Drift,R$ 6067.71,37,E L E T R Ô N I C O S
GPS Lowrance Evo Storm Drift,R$ 6067.71,37,ELEtRÔNICOS
Rádio AIS Force,R$ 26461.14,38,Eletrônicos
GPS Furuno Vector,R$ 29632.83,39,eletrônicos
Sonda Furuno Maré Tidal,R$ 14184.04,40,eLeTrÔnIcOs
GPS Simrad Flow Pulse,R$ 10600.0,41,eLeTrÔnIcOs
Transponder Lowrance Axis,R$ 5992.84,42,Eletronicoz
Sonda AIS Barracuda,R$ 35096.86,43,E L E T R Ô N I C O S
GPS Simrad Zen Hydra Peak,R$ 10806.84,44,EletrônicoS
GPS Furuno Current,R$ 9903.71,45,eLeTrÔnIcOs
Sonda AIS Magnum Boost,R$ 4983.77,46,eletrônicos
Rádio Simrad Tidal Aqua,R$ 6122.96,47,Eletronicos
GPS Furuno Magnum Drift,R$ 14736.35,48,eLeTrÔnIcOs
Sonda Furuno Swift,R$ 13264.25,49,eletrônicos
Piloto Automático Simrad Poseidon Magnum,R$ 11275.99,50,Eletronicoz
Motor Diesel Tohatsu Evo Zenith 16HP,R$ 64158.99,51,PROPULSAO
Motor Diesel Honda Zen Tidal Mako 26HP,R$ 13704.1,52,Propulção
Motor Elétrico Torqeedo Zen Titan Hydra 129HP,R$ 53675.01,53,Prop
Motor de Popa Yamaha Evo Dash 155HP,R$ 121534.82,54,Propulssão
Motor Diesel Volvo Flow Oceanic 259HP,R$ 109987.2,55,propulsao
Motor Elétrico Torqeedo Velocity Swift 74HP,R$ 42988.77,56,propulsao
Motor de Popa Honda Vector Kinetic 174HP,R$ 118790.57,57,PROPULSAO
Motor de Popa Tohatsu Ion Core Nautic 53HP,R$ 108824.59,58,Propulção
Motor Diesel Yanmar Hydro Magnum Boost 267HP,R$ 87166.14,59,Prop
Motor de Popa Honda Velocity Drift 258HP,R$ 108751.09,60,Propulssão
Motor Diesel Honda Prime 84HP,R$ 28018.63,61,PROPULSAO
Motor Diesel Yanmar Velocity 37HP,R$ 102221.97,62,P R O P U L S Ã O
Motor Diesel Yanmar Velocity 37HP,R$ 102221.97,62,Propução
Motor Diesel Yanmar Velocity 37HP,R$ 102221.97,62,propulsão
Motor Diesel Yanmar Velocity 37HP,R$ 102221.97,62,Prop
Motor Elétrico Torqeedo Ion Orca Vox 186HP,R$ 139957.67,63,pRoPuLsÃo
Motor Elétrico Yamaha Swift Drift Current 265HP,R$ 111505.55,64,pRoPuLsÃo
Motor de Popa Torqeedo Nautic Swift 223HP,R$ 25557.7,65,Propulção
Motor de Popa Tohatsu Poseidon Helix Prime 135HP,R$ 12571.63,66,Propulçao
Motor de Popa Yamaha Mako 108HP,R$ 85789.05,67,Propulssão
Motor de Popa Honda Ion Vox Prime 163HP,R$ 66897.1,68,PROPULSAO
Motor de Popa Torqeedo Ultra Impulse 292HP,R$ 45265.02,69,Propução
Motor Diesel Parsun Boost Helix Velocity 146HP,R$ 34355.43,70,propulsão
Motor Elétrico Torqeedo Pulse 300HP,R$ 130174.06,71,P R O P U L S Ã O
Motor de Popa Volvo Hydro Dash 256HP,R$ 99664.64,72,Propução
Motor de Popa Torqeedo Core Hydra Flux 162HP,R$ 143159.93,73,PROPULSAO
Motor de Popa Honda Torque 228HP,R$ 86558.56,74,Propulção
Motor Diesel Volvo Flow Leviathan Maré 187HP,R$ 32768.38,75,Propulsam
Motor Diesel Honda Aero 205HP,R$ 148198.23,76,Propução
Motor Diesel Tohatsu Vector 197HP,R$ 44704.67,77,Propução
Motor Elétrico Honda Mako Axis 131HP,R$ 121761.56,78,propulsão
Motor Diesel Tohatsu Zenith 60HP,R$ 66146.85,79,Propulçao
Motor de Popa Volvo Maré 69HP,R$ 129223.84,80,Prop
Motor Elétrico Torqeedo Barracuda Magnum Helix 101HP,R$ 122148.49,81,Propulçao
Motor Elétrico Volvo Nautic Vox 118HP,R$ 51634.04,82,P R O P U L S Ã O
Motor Diesel Yanmar Dash Nitro 184HP,R$ 134803.88,83,propulsao
Motor de Popa Torqeedo Zenith Peak Thrust 212HP,R$ 43423.88,84,propulsão
Motor de Popa Parsun Impulse 162HP,R$ 38578.7,85,P R O P U L S Ã O
Motor Diesel Volvo Helix Evo Force 144HP,R$ 93523.13,86,Propulsam
Motor Elétrico Volvo Boost 225HP,R$ 66859.9,87,Propulção
Motor Diesel Tohatsu Kinetic Poseidon 113HP,R$ 48336.49,88,propulsão
Motor Elétrico Yamaha Orca Storm Zenith 11HP,R$ 78678.05,89,Propulssão
Motor de Popa Yamaha Thrust Marlin Nexus 182HP,R$ 79097.33,90,PROPULSAO
Motor Elétrico Tohatsu Zenith Oceanic 113HP,R$ 134886.02,91,Propução
Motor Elétrico Yamaha Nautic Kraken 133HP,R$ 88854.1,92,Propução
Motor Elétrico Yamaha Flow 204HP,R$ 100477.01,93,propulsão
Motor de Popa Volvo Magnum 276HP,R$ 40750.84,94,Propução
Motor Diesel Honda Leviathan 133HP,R$ 69808.04,95,P R O P U L S Ã O
Motor de Popa Tohatsu Boost Swift 126HP,R$ 70620.84,96,Propulssão
Motor de Popa Tohatsu Evo 168HP,R$ 135335.07,97,P R O P U L S Ã O
Motor Diesel Parsun Velocity Abyss Orca 235HP,R$ 79361.13,98,propulsao
Motor Elétrico Honda Flux Ultra 273HP,R$ 107266.66,99,Prop
Motor Elétrico Honda Vector Abyss 220HP,R$ 104600.24,100,PrOpUlSãO
Cabo de Nylon Delta Vortex,R$ 463.4,101,Ancoragem
Cabo de Nylon Bruce Nexus,R$ 832.02,102,AnCoRaGeM
Âncora Delta Swift,R$ 1789.19,103,Encoragem
Cabo de Nylon Delta Zen Vortex Storm,R$ 3713.02,104,Ancoraguem
Cabo de Nylon Danforth Prime,R$ 309.54,105,Ancoraguem
Âncora Danforth Nitro Titan Vox,R$ 4384.87,106,Ancorajm
Boia de Arqueamento Bruce Tidal Marlin,R$ 1513.38,107,Ancoraguem
Boia de Arqueamento Bruce Titan,R$ 3345.56,108,AncorageM
Cabo de Nylon Danforth Evo Aqua Mako,R$ 622.7,109,A N C O R A G E M
Corrente Bruce Current,R$ 2495.51,110,Encoragem
Boia de Arqueamento Danforth Aero Dash,R$ 4285.23,111,A N C O R A G E M
Corrente Danforth Tidal,R$ 2180.95,112,AncorageM
Âncora Delta Mako Ultra,R$ 4394.96,113,Encoragem
Boia de Arqueamento Danforth Tidal Zen Swift,R$ 799.29,114,AncorageM
Cabo de Nylon Delta Force Magnum Leviathan,R$ 830.59,115,Ancoraguem
Cabo de Nylon Delta Velocity Oceanic Abyss,R$ 2575.52,116,AnCoRaGeM
Corrente Danforth Zen Abyss Axis,R$ 4103.01,117,ANCORAGEM
Boia de Arqueamento Delta Force Vox,R$ 4315.11,118,aNcOrAgEm
Âncora Bruce Aqua,R$ 3255.82,119,Ancorajem
Boia de Arqueamento Danforth Flux Tidal,R$ 3124.49,120,AncorageM
Boia de Arqueamento Delta Nexus,R$ 4349.86,145,AncorageM
Âncora Danforth Oceanic Helix Flux,R$ 3694.27,121,AncorageM
Corrente Danforth Zenith Oceanic Torque,R$ 1322.47,122,aNcOrAgEm
Cabo de Nylon Danforth Orca Aero,R$ 2777.07,123,Ancorajm
Corrente Delta Axis,R$ 3769.93,124,AncorageM
Cabo de Nylon Danforth Kinetic,R$ 3402.07,125,Ancoraguem
Corrente Danforth Hydro,R$ 2677.06,126,AncorageM
Cabo de Nylon Delta Velocity Core Mako,R$ 1549.35,127,Encoragem
Cabo de Nylon Delta Velocity Core Mako,R$ 1549.35,127,Encoragi
Boia de Arqueamento Bruce Marlin Hydra,R$ 4650.72,128,Encoragem
Corrente Delta Boost,R$ 3266.21,129,A N C O R A G E M
Boia de Arqueamento Delta Zen Boost Vortex,R$ 4144.09,130,A N C O R A G E M
Boia de Arqueamento Danforth Core Vortex,R$ 963.59,131,aNcOrAgEm
Corrente Bruce Nautic Evo,R$ 1562.97,132,Ancoragem
Âncora Bruce Core Pulse,R$ 1892.72,133,ancoragem
Âncora Delta Storm Vox,R$ 4717.61,134,AncorageM
Cabo de Nylon Danforth Titan Poseidon,R$ 1644.51,135,Ancorajen
Cabo de Nylon Bruce Flux Hydro,R$ 1973.5,136,Ancorajen
Âncora Danforth Impulse,R$ 3385.47,137,aNcOrAgEm
Boia de Arqueamento Delta Peak Boost Thrust,R$ 4183.05,138,Ancoraguem
Boia de Arqueamento Danforth Torque,R$ 1424.88,139,Ancorajm
Boia de Arqueamento Bruce Dash Titan Pulse,R$ 3134.58,140,Ancorajm
Boia de Arqueamento Bruce Nexus Abyss,R$ 4781.8,141,aNcOrAgEm
Âncora Danforth Vector Evo,R$ 826.41,142,Ancorajm
Âncora Delta Hydra Kraken Velocity,R$ 4436.43,143,A N C O R A G E M
Boia de Arqueamento Bruce Barracuda,R$ 2214.14,144,Ancoraguem
Boia de Arqueamento Delta Nexus,R$ 4349.86,145,AncorajeM
Boia de Arqueamento Delta Nexus,R$ 4349.86,145,Ancoragen
Corrente Delta Vox Ion,R$ 495.98,146,ancoragem
Corrente Danforth Force Leviathan Impulse,R$ 3030.08,147,Ancoraguem
Âncora Delta Force Barracuda Mako,R$ 4785.56,148,Ancorajem
Cabo de Nylon Bruce Core,R$ 1163.62,149,Ancoragem
Cabo de Nylon Danforth Magnum Vox,R$ 1645.66,150,Ancorajem
